model_run_id,source_phase,source_file,model_name,candidate_id,algorithm_regime,result_origin,result_scope,clean_or_oracle,metric_rows,split_regimes,official_claim_allowed,benchmark_relative_claim_allowed
model_run_00038,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,PLM-AS-RM~\citep{haller2022eye},PLM-AS-RM~\citep{haller2022eye},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00039,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,PLM-AS~\citep{Yang2023PLMASPL},PLM-AS~\citep{Yang2023PLMASPL},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00040,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,PostFusion-Eye~\citep{Shubi2024Finegrained},PostFusion-Eye~\citep{Shubi2024Finegrained},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00041,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,Random Forest~\cite{makowski2024detection},Random Forest~\cite{makowski2024detection},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00042,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,Reading Speed,Reading Speed,official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00043,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,RoBERTEye-F~\citep{Shubi2024Finegrained},RoBERTEye-F~\citep{Shubi2024Finegrained},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00044,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,RoBERTEye-W~\citep{Shubi2024Finegrained},RoBERTEye-W~\citep{Shubi2024Finegrained},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00045,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,SVM~\cite{hollenstein2023zuco},SVM~\cite{hollenstein2023zuco},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00046,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,Text-Only Roberta,Text-Only Roberta,official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00047,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/official_sota_decision_report.md,official_eyebench_sota_check,blocked_by_environment,official_compatible_lite,blocked_or_skipped,blocked_result,blocked,1,unknown,False,False
model_run_00048,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,AhnCNN~\citep{ahn2020towards},AhnCNN~\citep{ahn2020towards},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00049,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,AhnRNN~\citep{ahn2020towards},AhnRNN~\citep{ahn2020towards},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00050,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,BEyeLSTM~\citep{reich_inferring_2022},BEyeLSTM~\citep{reich_inferring_2022},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00051,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,D3_EyeBench_Lite,D3_EyeBench_Lite,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00052,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,Logistic Regression~\cite{meziere2023using},Logistic Regression~\cite{meziere2023using},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00053,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,MAG-Eye~\citep{Shubi2024Finegrained},MAG-Eye~\citep{Shubi2024Finegrained},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00054,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,Majority Class / Chance,Majority Class / Chance,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00055,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,PLM-AS-RM~\citep{haller2022eye},PLM-AS-RM~\citep{haller2022eye},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00056,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,PLM-AS~\citep{Yang2023PLMASPL},PLM-AS~\citep{Yang2023PLMASPL},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00057,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,PostFusion-Eye~\citep{Shubi2024Finegrained},PostFusion-Eye~\citep{Shubi2024Finegrained},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00058,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,Random Forest~\cite{makowski2024detection},Random Forest~\cite{makowski2024detection},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00059,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,Reading Speed,Reading Speed,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00060,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,RoBERTEye-F~\citep{Shubi2024Finegrained},RoBERTEye-F~\citep{Shubi2024Finegrained},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00061,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,RoBERTEye-W~\citep{Shubi2024Finegrained},RoBERTEye-W~\citep{Shubi2024Finegrained},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00062,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,SVM~\cite{hollenstein2023zuco},SVM~\cite{hollenstein2023zuco},official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00063,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/tables/copco_typ_official_sota_comparison.csv,Text-Only Roberta,Text-Only Roberta,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,1,unknown,False,True
model_run_00064,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,operating_point_diagnostic,clean_evaluation,secondary_completed_result,clean,6,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00065,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,D3_EyeBench_Lite,candidate_0000,operating_point_diagnostic,clean_evaluation,secondary_completed_result,clean,6,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00066,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/reader_probability_aggregation_metrics.csv,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,operating_point_diagnostic,clean_evaluation,secondary_completed_result,clean,15,unseen_reader;unseen_reader_and_text;unseen_text,True,True
model_run_00067,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/reader_probability_aggregation_metrics.csv,D3_EyeBench_Lite,candidate_0000,operating_point_diagnostic,clean_evaluation,secondary_completed_result,clean,15,unseen_reader;unseen_reader_and_text;unseen_text,True,True
model_run_00068,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/reader_probability_aggregation_metrics.csv,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,operating_point_diagnostic,clean_evaluation,secondary_completed_result,clean,15,unseen_reader;unseen_reader_and_text;unseen_text,True,True
model_run_00069,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,oracle_diagnostic,diagnostic_completed_result,oracle,3,LOPO,False,False
model_run_00070,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,oracle_diagnostic,diagnostic_completed_result,oracle,12,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00071,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3_EyeBench_Lite,candidate_0000,oracle_diagnostic,oracle_diagnostic,diagnostic_completed_result,oracle,12,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00072,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,oracle_diagnostic,diagnostic_completed_result,oracle,12,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00073,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,Phase4_D3_ReaderProfile,phase4_d3_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,oracle_diagnostic,diagnostic_completed_result,oracle,3,LOPO,False,False
model_run_00074,Phase4_confirmatory_v1,analysis/phase4_confirmatory/bootstrap_results.csv,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,LOPO,False,True
model_run_00075,Phase4_confirmatory_v1,analysis/phase4_confirmatory/permutation_results.csv,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,LOPO,False,True
